評論編號,日期,分店,產品名稱,評分_星數,等候時間_分鐘,顧客類型,是否回頭客,是否考試週,評論內容
#16,2025-09-24,圖書館旁,珍珠奶茶,4,16,學生,是,是,珍珠奶茶芝士層好厚好香，下次一定再嚟！
#17,2025-10-26,校門口,芝士奶蓋,1,31,學生,是,否,等咗近 31 分鐘，芝士奶蓋好味但係時間成本太高。
#18,2025-10-09,圖書館旁,燒仙草,2,16,學生,否,否,等咗 16 分鐘先出到單，好難頂。
#19,2025-10-14,校門口,手工梳打,3,20,學生,否,否,等咗 20 分鐘先出到單，手工梳打味道算係唔錯。
#20,2025-09-19,圖書館旁,純茶,5,5,學生,否,是,等咗 5 分鐘，純茶好味，值得等！
#21,2025-09-17,校門口,珍珠奶茶,3,35,學生,否,是,今次等咗 35 分鐘，珍珠奶茶品質正常，下次再試。
#22,2025-09-10,圖書館旁,芝士奶蓋,4,11,學生,否,否,芝士奶蓋好飲，呢度嘅品質真係有保證！
#23,2025-10-29,校門口,燒仙草,3,29,外來客,否,否,燒仙草算好味，等候時間中等，29 分鐘左右。
#24,2025-09-16,圖書館旁,手工梳打,5,12,外來客,否,是,手工梳打好清甜唔膩，夏天飲啱晒！
#25,2025-10-17,校門口,純茶,2,19,教職員,是,否,等咗 19 分鐘，下次寧願去其他店，雖然唔及呢度好味。
#26,2025-10-31,圖書館旁,珍珠奶茶,4,12,學生,否,否,珍珠奶茶唔係普通奶茶，係要試嘅特別款！
#27,2025-09-14,校門口,芝士奶蓋,2,34,教職員,是,否,出單慢減一星，芝士奶蓋本身好值得五星，可惜等咗 34 分鐘！
#28,2025-09-29,圖書館旁,燒仙草,4,8,學生,是,否,燒仙草好清甜唔膩，夏天飲啱晒！
#29,2025-09-22,校門口,手工梳打,3,32,教職員,是,是,等咗 32 分鐘先出到單，手工梳打味道算係唔錯。
#30,2025-10-28,圖書館旁,純茶,5,13,學生,否,否,純茶好大粒彈牙，係近年飲過最好嘅！
#31,2025-10-13,校門口,珍珠奶茶,4,12,外來客,否,否,珍珠奶茶好值，份量足，下次帶朋友嚟試！
#32,2025-10-21,圖書館旁,芝士奶蓋,4,13,學生,是,否,今次唔使等太耐，13 分鐘就有芝士奶蓋，滿意！
#33,2025-09-28,校門口,燒仙草,2,17,學生,否,否,等咗超過 17 分鐘，工作人員話係忙，希望改善。
#34,2025-09-04,圖書館旁,手工梳打,3,16,學生,否,否,今次等咗 16 分鐘，手工梳打品質正常，下次再試。
#35,2025-09-13,校門口,純茶,3,25,學生,是,否,等咗 25 分鐘先出到單，純茶味道算係唔錯。
#36,2025-09-29,圖書館旁,珍珠奶茶,2,17,外來客,是,否,等咗 17 分鐘先出到單，好難頂。
#37,2025-09-06,校門口,芝士奶蓋,2,36,學生,是,否,等咗近 36 分鐘，芝士奶蓋好味但係時間成本太高。
#38,2025-10-28,圖書館旁,燒仙草,5,8,學生,否,否,燒仙草好大粒彈牙，係近年飲過最好嘅！
#39,2025-10-30,校門口,手工梳打,3,24,外來客,否,否,等候時間 24 分鐘，手工梳打品質尚可，總體算滿意。
#40,2025-09-10,圖書館旁,純茶,5,7,學生,是,否,等咗 7 分鐘，純茶好味，值得等！
#41,2025-10-05,校門口,珍珠奶茶,3,28,學生,否,否,珍珠奶茶一般，等候時間 28 分鐘係可以接受嘅範圍。
#42,2025-09-04,圖書館旁,芝士奶蓋,3,14,學生,是,否,等咗 14 分鐘先出到單，芝士奶蓋味道算係唔錯。
#43,2025-10-14,校門口,燒仙草,1,27,學生,否,否,燒仙草好味，但係等咗 27 分鐘，有啲耐。
#44,2025-10-10,圖書館旁,手工梳打,5,8,教職員,否,否,手工梳打每週都嚟買，係附近最好飲嘅！
#45,2025-10-30,校門口,純茶,3,21,學生,是,否,純茶算好味，等候時間中等，21 分鐘左右。
#46,2025-09-30,圖書館旁,珍珠奶茶,3,19,教職員,是,否,等候時間 19 分鐘，珍珠奶茶品質尚可，總體算滿意。
#47,2025-10-10,校門口,芝士奶蓋,2,40,學生,是,否,出單慢減一星，芝士奶蓋本身好值得五星，可惜等咗 40 分鐘！
#48,2025-10-27,圖書館旁,燒仙草,5,12,學生,是,否,燒仙草好清爽，係健康之選！
#49,2025-10-24,校門口,手工梳打,3,15,教職員,否,否,手工梳打算好味，等候時間中等，15 分鐘左右。
#50,2025-10-30,圖書館旁,純茶,4,11,外來客,是,否,珍珠係自家製，純茶食落真係唔同，好彈牙！
#51,2025-10-27,校門口,珍珠奶茶,2,30,學生,否,否,等咗 30 分鐘，好在珍珠奶茶好味，否則唔會再嚟。
#52,2025-10-14,圖書館旁,芝士奶蓋,3,16,學生,否,否,芝士奶蓋好味，但係等咗 16 分鐘，有啲耐。
#53,2025-09-06,校門口,燒仙草,5,12,學生,是,否,燒仙草好大粒彈牙，係近年飲過最好嘅！
#54,2025-09-11,圖書館旁,手工梳打,4,5,學生,是,否,手工梳打係我最愛，珍珠好彈牙，甜度啱啱好！
#55,2025-09-08,校門口,純茶,1,37,學生,否,否,出單慢係一個大問題，等咗 37 分鐘，已見到有客因為等太耐而走咗。
#56,2025-09-28,圖書館旁,珍珠奶茶,4,17,學生,否,否,珍珠奶茶芝士層好厚好香，下次一定再嚟！
#57,2025-10-28,校門口,芝士奶蓋,4,14,學生,否,否,芝士奶蓋唔係普通奶茶，係要試嘅特別款！
#58,2025-10-10,圖書館旁,燒仙草,3,18,外來客,是,否,燒仙草一般，等候時間 18 分鐘係可以接受嘅範圍。
#59,2025-10-22,校門口,手工梳打,3,28,教職員,是,否,手工梳打味道唔錯，但係出單速度可以改善。
#60,2025-10-22,圖書館旁,純茶,4,3,教職員,是,否,純茶份量足，性價比高，下次再試！
#61,2025-10-21,校門口,珍珠奶茶,4,20,學生,是,否,珍珠奶茶好清爽，係健康之選！
#62,2025-09-23,圖書館旁,芝士奶蓋,5,7,教職員,是,是,芝士奶蓋係我最愛，珍珠好彈牙，甜度啱啱好！
#63,2025-10-13,校門口,燒仙草,2,24,外來客,是,否,整體等候時間太長，等咗 24 分鐘，希望可以做網上落單。
#64,2025-09-26,圖書館旁,手工梳打,3,16,學生,是,是,手工梳打算好味，等候時間中等，16 分鐘左右。
#65,2025-09-12,校門口,純茶,5,8,學生,是,否,純茶每週都嚟買，係附近最好飲嘅！
#66,2025-09-28,圖書館旁,珍珠奶茶,5,5,學生,是,否,今日等候時間只需 5 分鐘，珍珠奶茶出單快又好味，大讚！
#67,2025-09-13,校門口,芝士奶蓋,4,22,外來客,否,否,等咗 22 分鐘，芝士奶蓋好味，值得等！
#68,2025-10-31,圖書館旁,燒仙草,3,20,教職員,是,否,等咗 20 分鐘先出到單，燒仙草味道算係唔錯。
#69,2025-10-31,校門口,手工梳打,3,18,教職員,否,否,手工梳打算好味，等候時間中等，18 分鐘左右。
#70,2025-10-03,圖書館旁,純茶,5,8,學生,是,否,純茶唔係太甜，啱我口味，係呢度最常點嘅。
#71,2025-10-06,校門口,珍珠奶茶,1,28,教職員,否,否,出單慢已係好多人嘅投訴，等咗 28 分鐘，希望老闆改善流程。
#72,2025-09-26,圖書館旁,芝士奶蓋,4,16,學生,是,是,今日等候時間只需 16 分鐘，芝士奶蓋出單快又好味，大讚！
#73,2025-10-09,校門口,燒仙草,3,17,學生,否,否,燒仙草一般，等候時間 17 分鐘係可以接受嘅範圍。
#74,2025-10-13,圖書館旁,手工梳打,5,7,學生,否,否,手工梳打每週都嚟買，係附近最好飲嘅！
#75,2025-09-06,校門口,純茶,2,28,學生,是,否,等咗 28 分鐘先出到單，好難頂。
#76,2025-09-03,圖書館旁,珍珠奶茶,5,4,學生,否,否,珍珠奶茶好清甜唔膩，夏天飲啱晒！
#77,2025-09-30,校門口,芝士奶蓋,5,12,教職員,否,否,芝士奶蓋好值，份量足，下次帶朋友嚟試！
#78,2025-09-10,圖書館旁,燒仙草,3,16,學生,否,否,等咗 16 分鐘先出到單，燒仙草味道算係唔錯。
#79,2025-10-20,校門口,手工梳打,2,18,學生,是,否,出單慢令我放學後買完趕唔切去補習，等咗 18 分鐘！
#80,2025-10-29,圖書館旁,純茶,3,13,學生,否,否,等咗 13 分鐘，純茶好在飲品好味，否則唔會再嚟。
#81,2025-10-31,校門口,珍珠奶茶,2,22,外來客,是,否,出單慢係致命弱點，好味但係留唔住趕時間嘅客人，等咗 22 分鐘！
#82,2025-10-28,圖書館旁,芝士奶蓋,5,7,外來客,否,否,考試期間嚟買芝士奶蓋，唔使等太耐，精神好返晒！
#83,2025-09-16,校門口,燒仙草,2,25,學生,是,是,出單慢已係好多人嘅投訴，等咗 25 分鐘，希望老闆改善流程。
#84,2025-09-16,圖書館旁,手工梳打,5,9,學生,是,是,手工梳打同男友一齊嚟都係點呢個，係最愛！
#85,2025-09-10,校門口,純茶,3,23,學生,是,否,等候時間 23 分鐘，純茶品質尚可，總體算滿意。
#86,2025-09-27,圖書館旁,珍珠奶茶,4,20,教職員,是,否,考試期間嚟買珍珠奶茶，唔使等太耐，精神好返晒！
#87,2025-10-08,校門口,芝士奶蓋,2,23,學生,否,否,出單慢減一星，芝士奶蓋本身好值得五星，可惜等咗 23 分鐘！
#88,2025-09-20,圖書館旁,燒仙草,4,12,外來客,是,是,等咗 12 分鐘，燒仙草好味，值得等！
#89,2025-10-18,校門口,手工梳打,5,12,學生,是,否,手工梳打係我最愛，珍珠好彈牙，甜度啱啱好！
#90,2025-09-25,圖書館旁,純茶,4,10,學生,是,是,純茶好清爽，係健康之選！
#91,2025-10-29,校門口,珍珠奶茶,3,30,學生,否,否,珍珠奶茶好味，但係等咗 30 分鐘，有啲耐。
#92,2025-09-06,圖書館旁,芝士奶蓋,3,17,學生,否,否,芝士奶蓋好味，但係等咗 17 分鐘，有啲耐。
#93,2025-09-17,校門口,燒仙草,3,18,學生,否,是,燒仙草味道唔錯，但係出單速度可以改善。
#94,2025-09-17,圖書館旁,手工梳打,3,14,教職員,是,是,等咗 14 分鐘，手工梳打好在飲品好味，否則唔會再嚟。
#95,2025-09-15,校門口,純茶,4,14,教職員,否,否,純茶係全區最好味，一定要試！
#96,2025-10-24,圖書館旁,珍珠奶茶,5,5,學生,是,否,今次唔使等太耐，5 分鐘就有珍珠奶茶，滿意！
#97,2025-09-08,校門口,芝士奶蓋,3,17,教職員,是,否,等咗 17 分鐘先出到單，芝士奶蓋味道算係唔錯。
#98,2025-10-20,圖書館旁,燒仙草,3,11,外來客,是,否,燒仙草好味，但係等咗 11 分鐘，有啲耐。
#99,2025-10-30,校門口,手工梳打,2,17,學生,否,否,出單好慢，等咗 17 分鐘差啲趕唔切搭車。
#100,2025-10-08,圖書館旁,純茶,3,19,學生,是,否,純茶算好味，等候時間中等，19 分鐘左右。
